tiempo,valores
1960,11506
1961,10333
1962,9541
1963,8923
1964,8336
1965,8330
1966,8450
1967,7940
1968,8174
1969,8241
1970,8761
1971,9157
1972,10231
1973,10730
1974,10723
1975,11744
1976,11744
1977,12299
1978,12409
1979,12851
1980,12769
1981,12708
1982,13203
1983,16876
1984,16251
1985,15356
1986,16499
1987,15281
1988,14290
1989,12939
1990,12316
1991,12477
1992,13516
1993,13540
1994,14058
1995,14231
1996,14853
1997,15901
1998,22349
1999,22402
2000,21656
2001,21085
2002,21677
2003,23396
2004,21955
2005,22236
2006,21419
2007,22007
2008,21546
2009,22189
2010,21028
2011,19904
2012,18485
2013,18158
2014,16875
2015,16202
2016,14639
2017,14333
2018,13851
2019,13668